save_as,type,race,tr_name,en_name,prompt
forms/shard_ooze.png,form,slime,Kıymık Sümük,Shard Ooze,"Shard Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/toxic_sovereign.png,form,slime,Toksik Hükümdar,Toxic Sovereign,"Toxic Sovereign, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/plague_god.png,form,slime,Veba Tanrısı,Plague God,"Plague God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/venom_overlord.png,form,slime,Ağı Efendisi,Venom Overlord,"Venom Overlord, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/elder_ooze.png,form,slime,Kadim Balçık,Elder Ooze,"Elder Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/acid_god.png,form,slime,Asit Tanrısı,Acid God,"Acid God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/void_ooze.png,form,slime,Boşluk Balçığı,Void Ooze,"Void Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/void_devourer.png,form,slime,Boşluk Yutucu,Void Devourer,"Void Devourer, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/primordial_ooze.png,form,slime,İlksel Balçık,Primordial Ooze,"Primordial Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/crystal_god.png,form,slime,Kristal Tanrı,Crystal God,"Crystal God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/primordial_god.png,form,slime,İlksel Tanrı,Primordial God,"Primordial God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/mirror_god.png,form,slime,Ayna Tanrısı,Mirror God,"Mirror God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/eternal_slime.png,form,slime,Sonsuz Sümüklü,Eternal Slime,"Eternal Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/adamant_colossus.png,form,slime,Çelik Devası,Adamant Colossus,"Adamant Colossus, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ancient_slime.png,form,slime,Kadim Sümüklü,Ancient Slime,"Ancient Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/slime_ascendant.png,form,slime,Yükselen Sümüklü,Slime Ascendant,"Slime Ascendant, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/slime_sovereign.png,form,slime,Sümüklü Hükümdar,Slime Sovereign,"Slime Sovereign, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_rattle.png,form,skeleton,Kemik Çıngırak,Bone Rattle,"Bone Rattle, an undead skeletal being, bleached bone, dark necrotic aura, newborn small form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/risen_skeleton.png,form,skeleton,Dirilmiş İskelet,Risen Skeleton,"Risen Skeleton, an undead skeletal being, bleached bone, dark necrotic aura, young growing form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/skeleton_warrior.png,form,skeleton,İskelet Savaşçı,Skeleton Warrior,"Skeleton Warrior, an undead skeletal being, bleached bone, dark necrotic aura, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/skeleton_sorcerer.png,form,skeleton,İskelet Büyücü,Skeleton Sorcerer,"Skeleton Sorcerer, an undead skeletal being, bleached bone, dark necrotic aura, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_lord.png,form,skeleton,Kemik Lordu,Bone Lord,"Bone Lord, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_archer.png,form,skeleton,Kemik Okçu,Bone Archer,"Bone Archer, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/lich.png,form,skeleton,Lich,Lich,"Lich, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/shade_knight.png,form,skeleton,Gölge Şövalye,Shade Knight,"Shade Knight, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_titan.png,form,skeleton,Kemik Titan,Bone Titan,"Bone Titan, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/dread_reaver.png,form,skeleton,Dehşet Yağmacısı,Dread Reaver,"Dread Reaver, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_sniper.png,form,skeleton,Kemik Nişancı,Bone Sniper,"Bone Sniper, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_marksman.png,form,skeleton,Kemik Avcı,Bone Marksman,"Bone Marksman, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ancient_lich.png,form,skeleton,Kadim Lich,Ancient Lich,"Ancient Lich, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/soul_reaper.png,form,skeleton,Ruh Biçen,Soul Reaper,"Soul Reaper, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_knight.png,form,skeleton,Ölüm Şövalyesi,Death Knight,"Death Knight, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/wraith_lord.png,form,skeleton,Tayf Lordu,Wraith Lord,"Wraith Lord, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/undead_sovereign.png,form,skeleton,Ölümsüz Hükümdar,Undead Sovereign,"Undead Sovereign, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_colossus.png,form,skeleton,Kemik Devası,Bone Colossus,"Bone Colossus, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_incarnate.png,form,skeleton,Ölümün Bedenleşmesi,Death Incarnate,"Death Incarnate, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/carnage_lord.png,form,skeleton,Katliam Lordu,Carnage Lord,"Carnage Lord, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_artillery.png,form,skeleton,Kemik Topçusu,Bone Artillery,"Bone Artillery, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_archer_king.png,form,skeleton,Ölüm Okçu Kralı,Death Archer King,"Death Archer King, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/soul_sniper.png,form,skeleton,Ruh Nişancı,Soul Sniper,"Soul Sniper, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/revenant_king.png,form,skeleton,Hortlak Kral,Revenant King,"Revenant King, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_sovereign.png,form,skeleton,Ölüm Hükümdarı,Death Sovereign,"Death Sovereign, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/lich_god.png,form,skeleton,Liç Tanrısı,Lich God,"Lich God, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/soul_sovereign_skel.png,form,skeleton,Ruh Hükümdarı,Soul Sovereign,"Soul Sovereign, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/reaper_god.png,form,skeleton,Biçen Tanrı,Reaper God,"Reaper God, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_lord.png,form,skeleton,Ölüm Lordu,Death Lord,"Death Lord, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/doom_knight.png,form,skeleton,Kıyamet Şövalyesi,Doom Knight,"Doom Knight, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/wraith_god.png,form,skeleton,Tayf Tanrısı,Wraith God,"Wraith God, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/skeleton_sovereign.png,form,skeleton,İskelet Hükümdar,Skeleton Sovereign,"Skeleton Sovereign, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/wyrmling_hatch.png,form,wyrmling,Yavru Ejderha,Wyrmling Hatchling,"Wyrmling Hatchling, a scaled draconic wyrm, leathery wings, sharp horns and claws, newborn small form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/young_drake.png,form,wyrmling,Genç Ejder,Young Drake,"Young Drake, a scaled draconic wyrm, leathery wings, sharp horns and claws, young growing form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
